['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 61.6, '2025-06-16 13:56:59.590352']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 61.6, '2025-06-16 13:57:03.856712']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 61.6, '2025-06-16 13:57:54.842849']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-16 15:34:10.332121']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-16 15:34:17.715366']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 56.2, '2025-06-16 15:34:25.755963']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-16 15:35:18.582280']
['UID: ', ['0x4', '0x58', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-16 15:35:29.410472']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-16 15:35:34.368763']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-17 10:13:51.623829']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-17 10:29:56.420522']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-17 10:31:20.024677']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 56.8, '2025-06-17 10:37:46.398587']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-17 11:05:53.227827']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-17 12:00:51.961419']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-17 12:20:23.291166']
